Topic,Count,Name,Representation
-1,15682,-1_ai_like_just_people,"ai, like, just, people, don, model, think, use, data, time"
0,1781,0_gpt_gpt3_company_prompt,"gpt, gpt3, company, prompt, text, like, model, code, just, answer"
1,1564,1_google_search_people_content,"google, search, people, content, like, just, apple, don, users, think"
2,993,2_copilot_code_github copilot_github,"copilot, code, github copilot, github, emacs, vim, write, autocomplete, use, just"
3,911,3_agi_intelligence_human_humans,"agi, intelligence, human, humans, think, ai, don, just, people, like"
4,836,4_chatgpt_bing_hn_chatgpt chatgpt,"chatgpt, bing, hn, chatgpt chatgpt, code, chat, using, user, use, sydney"
5,687,5_copyright_copyrighted_fair use_fair,"copyright, copyrighted, fair use, fair, training, work, use, law, works, content"
6,598,6_engineer_remote_team_experience,"engineer, remote, team, experience, engineering, ai, stack, learning, email, machine learning"
7,528,7_llm_llms_lora_fine,"llm, llms, lora, fine, fine tuning, tuning, training, model, open, hn"
8,403,8_nvidia_gpu_amd_memory,"nvidia, gpu, amd, memory, gpus, cuda, llama, inference, cpu, performance"
9,366,9_intelligence_artificial_artificial intelligence_intelligent,"intelligence, artificial, artificial intelligence, intelligent, ai, human, learning, machine, brain, humans"
10,359,10_code_software_llms_work,"code, software, llms, work, job, llm, people, years, time, jobs"
11,351,11_art_artists_artist_ai,"art, artists, artist, ai, image, images, people, generative, creative, style"
12,311,12_ai_safety_ai safety_risk,"ai, safety, ai safety, risk, people, risks, human, ea, systems, ais"
13,305,13_voice_whisper_audio_speech,"voice, whisper, audio, speech, podcast, siri, text, alexa, transcription, video"
14,304,14_students_school_math_teachers,"students, school, math, teachers, student, learning, learn, essay, education, teacher"
15,285,15_chatgpt_language_understanding_answer,"chatgpt, language, understanding, answer, human, just, like, does, people, text"
16,245,16_reasoning_llms_language_humans,"reasoning, llms, language, humans, human, llm, understanding, understand, know, reason"
17,243,17_openai_openai openai_valuation_partnership,"openai, openai openai, valuation, partnership, 5b, open openai, microsoft, deal, talks, open"
18,241,18_vector_rag_embeddings_embedding,"vector, rag, embeddings, embedding, search, retrieval, query, documents, similarity, vectors"
19,222,19_llama_llama cpp_cpp_meta,"llama, llama cpp, cpp, meta, 7b, model, open, open source, ggml, source"
20,219,20_copilot_code_copyright_license,"copilot, code, copyright, license, gpl, licenses, fair use, source, copyrighted, use"
21,185,21_generative ai_generative_ai_ai generative,"generative ai, generative, ai, ai generative, models, using generative, content, new, world, potential"
22,173,22_medical_patient_therapy_doctors,"medical, patient, therapy, doctors, health, doctor, medicine, therapist, patients, people"
23,170,23_lisp_programming_languages_language,"lisp, programming, languages, language, python, haskell, java, code, grok, clojure"
24,165,24_consciousness_conscious_brain_self,"consciousness, conscious, brain, self, physical, experience, human, qualia, mind, think"
25,158,25_dall_image_diffusion_images,"dall, image, diffusion, images, dalle, stable diffusion, openai, stable, prompt, sd"
26,148,26_deepmind_professor_google deepmind_university,"deepmind, professor, google deepmind, university, google, computer science, science, research, ai, new ai"
27,142,27_altman_sam_sam altman_board,"altman, sam, sam altman, board, openai, ceo, yc, firing, openai board, openai ceo"
28,142,28_test_tests_llm_testing,"test, tests, llm, testing, langchain, code, unit, agent, coverage, tools"
29,133,29_transformers_transformer_attention_architecture,"transformers, transformer, attention, architecture, model, token, layers, models, learning, data"
30,129,30_universe_designer_god_anthropic principle,"universe, designer, god, anthropic principle, argument, principle, life, anthropic, tuning, fine"
31,129,31_o3_dl_compiler_clang,"o3, dl, compiler, clang, gcc, ub, src, code, debug, var"
32,128,32_github_copilot_license_code,"github, copilot, license, code, copyright, microsoft, source, licenses, open source, open"
33,123,33_sql_data_database_query,"sql, data, database, query, csv, postgres, queries, duckdb, schema, databases"
34,123,34_energy_climate_fossil_fuels,"energy, climate, fossil, fuels, fossil fuels, climate change, water, carbon, warming, power"
35,122,35_model_word_llms_markov,"model, word, llms, markov, llm, token, language, training, tokens, models"
36,120,36_crypto_march 2023_money_march,"crypto, march 2023, money, march, bitcoin, 2023, bank, svb, blockchain, tech"
37,117,37_translation_english_translations_translate,"translation, english, translations, translate, french, language, japanese, google translate, languages, words"
38,109,38_gpt_openai_openai gpt_model,"gpt, openai, openai gpt, model, curie, 001, davinci, api, models, turbo"
39,107,39_music_song_audio_lyrics,"music, song, audio, lyrics, sound, songs, like, chord, musical, instruments"
40,102,40_hallucinations_hallucination_llms_hallucinate,"hallucinations, hallucination, llms, hallucinate, llm, hallucinating, humans, model, training, don"
41,100,41_jobs_workers_people_labor,"jobs, workers, people, labor, automation, ai, job, work, human, wealth"
42,99,42_chess_game_moves_play,"chess, game, moves, play, games, rules, board, stockfish, playing, opponent"
43,98,43_react_js_web_components,"react, js, web, components, javascript, framework, html, use, frameworks, component"
44,96,44_claude_haiku_sonnet_opus,"claude, haiku, sonnet, opus, anthropic, claude sonnet, gpt turbo, turbo, nova, anthropic claude"
45,82,45_legal_lawyer_lawyers_law,"legal, lawyer, lawyers, law, court, contract, cases, case, contracts, llms"
46,79,46_driving_self driving_cars_car,"driving, self driving, cars, car, self, road, tesla, driver, agi, driving cars"
47,77,47_openai_chatgpt_openai chatgpt_chat,"openai, chatgpt, openai chatgpt, chat, com, proxy, access, waffle, using, plan"
48,76,48_rust_language_code_borrow,"rust, language, code, borrow, async, checker, languages, programming, std, memory"
49,75,49_diagrams_code_warp_terminal,"diagrams, code, warp, terminal, files, diagram, visual, file, command, javascript"
50,74,50_large language_language model_language_model,"large language, language model, language, model, large, language models, models, tuning, nlp, fine"
51,70,51_mistral_mistral 7b_7b_mixtral,"mistral, mistral 7b, 7b, mixtral, mistral ai, 8x22b, gb, months ago, 8x7b, apache"
52,70,52_gemini_gemini pro_pro_whiskey,"gemini, gemini pro, pro, whiskey, google, google gemini, ultra, flash, bard, available"
53,67,53_injection_prompt injection_prompt_attacks,"injection, prompt injection, prompt, attacks, jailbreaking, attack, injections, llm, prompt injections, llms"
54,65,54_tags_search_documents_markdown,"tags, search, documents, markdown, pdf, links, document, pdfs, using, merry"
55,64,55_poem_joke_poetry_man,"poem, joke, poetry, man, rhyme, jokes, santa, rhyming, chatgpt, funny"
56,62,56_rl_scaling_learning_training,"rl, scaling, learning, training, neural, agents, rl agents, data, compute, performance"
57,61,57_protein_alphafold_proteins_deepmind,"protein, alphafold, proteins, deepmind, structure, folding, protein folding, structures, prediction, fold"
58,60,58_shannon_claude shannon_claude_entropy,"shannon, claude shannon, claude, entropy, information, science, robert, cell, theory, communication"
59,60,59_aws_kubernetes_cloud_pod,"aws, kubernetes, cloud, pod, running, payment, cluster, k8s, gcp, docker"
60,58,60_chatgpt_chatgpt ai_ai_ai chatgpt,"chatgpt, chatgpt ai, ai, ai chatgpt, generative ai, generative, uses chatgpt, chatgpt considered, hype, deal"
61,57,61_china_eu_chinese_europe,"china, eu, chinese, europe, chip, german, technology, government, tech, advanced"
62,55,62_bard_google_google bard_employees,"bard, google, google bard, employees, youtube, contractor, contractors, chatbot, music, ai chatbot"
63,54,63_recipe_recipes_eggs_ingredients,"recipe, recipes, eggs, ingredients, cooking, chicken, egg, food, cook, ingredient"
64,48,64_tax_income_healthcare_taxes,"tax, income, healthcare, taxes, irs, agi, year, patients, ubi, ss"
65,41,65_chat_llama_llm_chatgpt,"chat, llama, llm, chatgpt, chatbot, models, yi, model, code llama, fine"
66,40,66_profit_openai_sam_non profit,"profit, openai, sam, non profit, charter, non, agi, altman, mission, research"
67,40,67_source_open_open source_source code,"source, open, open source, source code, weights, code, training, model, license, models"
68,39,68_openai_embeddings_openai embeddings_api,"openai, embeddings, openai embeddings, api, openai api, embedding, code, openai codex, codex, keys"
69,38,69_json_string_prompt_output,"json, string, prompt, output, schema, type, album, prompts, data, structured"
70,36,70_chatgpt_code_files_program,"chatgpt, code, files, program, ask, use, write, makefile, time, file"
71,33,71_vision_model_images_image,"vision, model, images, image, models, object, dataset, datasets, computer vision, trained"
72,33,72_grok_xai_throw away_lingo,"grok, xai, throw away, lingo, hacker, throw, like grok, standardize, musk, commit"
73,32,73_regulation_ai_covered_safety,"regulation, ai, covered, safety, harms, ai systems, government, regulations, model, regulatory"
74,31,74_visa_o1_1b_immigration,"visa, o1, 1b, immigration, green, l1, immigrants, lottery, indian, work"
75,31,75_openai_board_ceo_employees,"openai, board, ceo, employees, anthropic, quit, merger, openai ceo, approached, cto"
76,30,76_copilot_ads_windows_microsoft,"copilot, ads, windows, microsoft, 365, open source, open, source, subscription, windows 11"
